                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4858,                 1.8746,                 1.5048,                0.57288,                 0.5242,                0.53382,                0.27197,                 1.6562,                   1.83,                 1.7284,              0.0006661,              0.0006661,              0.0006661
                      2,                 1.6084,                 1.7868,                 1.6171,                0.64156,                0.59573,                0.61513,                0.31498,                 1.5611,                 1.6953,                 1.6917,              0.0012998,              0.0012998,              0.0012998
                      3,                  1.571,                 1.7201,                  1.602,                0.67445,                0.58482,                0.64539,                0.35937,                 1.4686,                 1.4127,                 1.6101,              0.0019005,              0.0019005,              0.0019005
                      4,                 1.5309,                 1.6559,                 1.5701,                0.72314,                 0.6232,                 0.6872,                0.37776,                  1.517,                 1.3354,                 1.6467,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.4769,                 1.5645,                 1.5335,                0.70186,                 0.5965,                0.66132,                0.37242,                 1.4595,                 1.3638,                  1.557,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.4328,                 1.4798,                 1.4906,                0.74688,                0.65896,                0.72802,                0.43467,                 1.3659,                 1.1526,                 1.4766,               0.001802,               0.001802,               0.001802
                      7,                 1.3859,                 1.4196,                 1.4639,                0.78004,                0.65983,                0.73748,                0.43687,                 1.3461,                 1.1276,                 1.4779,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.3596,                 1.3769,                 1.4445,                0.77431,                0.64806,                0.73478,                0.43606,                 1.3514,                 1.1763,                  1.492,               0.001703,               0.001703,               0.001703
                      9,                 1.3167,                 1.3125,                 1.4164,                0.78156,                0.66332,                0.74354,                0.45352,                 1.3035,                 1.0867,                 1.4369,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.3093,                 1.2783,                 1.4081,                 0.7823,                0.65809,                0.75189,                0.45974,                 1.2962,                 1.0849,                 1.4321,               0.001604,               0.001604,               0.001604
                     11,                 1.2924,                 1.2588,                 1.3967,                0.80431,                0.67641,                0.76649,                0.47097,                 1.2976,                   1.04,                 1.4422,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.2577,                 1.2149,                 1.3709,                0.80504,                0.67351,                0.76043,                 0.4646,                  1.279,                 1.0354,                 1.4345,               0.001505,               0.001505,               0.001505
                     13,                 1.2481,                 1.1862,                 1.3608,                0.83206,                0.67198,                0.77296,                0.48486,                  1.253,                0.99292,                  1.391,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.2285,                 1.1593,                 1.3474,                0.81074,                 0.6875,                0.77724,                0.49405,                 1.2333,                0.98191,                 1.3678,               0.001406,               0.001406,               0.001406
                     15,                 1.2156,                 1.1323,                 1.3378,                0.79946,                0.68949,                0.76942,                0.47588,                 1.2711,                0.98379,                 1.3966,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.1948,                 1.1121,                 1.3276,                0.81324,                0.70432,                0.78691,                0.48793,                 1.2584,                0.94565,                 1.4003,               0.001307,               0.001307,               0.001307
                     17,                  1.187,                 1.1062,                 1.3203,                 0.8149,                0.69865,                0.78296,                0.49995,                  1.215,                0.95292,                 1.3669,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.1753,                 1.0698,                  1.306,                0.81674,                0.70388,                0.79267,                0.51255,                 1.2055,                0.92815,                 1.3421,               0.001208,               0.001208,               0.001208
